"show_id","id","name","popularity","profile_path","roles","episode_count","image_url"
95,1217813,"Phina Oruche",0.6,"/ape6206wjRVwyS0mfPdufhFIYaT.jpg","Olivia",3,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/ape6206wjRVwyS0mfPdufhFIYaT.jpg"
95,1217865,"Erica Luttrell",1.737,"/qRsIqCvNf2uUDoKYxNxtW0FxX8r.jpg","Karen",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/qRsIqCvNf2uUDoKYxNxtW0FxX8r.jpg"
95,1219157,"Jim Doughan",2.895,NA,"Mr. Pole",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1219322,"Skip Stellrecht",1.39,NA,"Agent Manetti",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1219473,"Carrie Southworth",1.019,NA,"Betty",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1219500,"Kirsten Nelson",5.96,"/7TfweasXJLw5cKNAiV1xYzIJYcT.jpg","Lorraine Ross",2,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/7TfweasXJLw5cKNAiV1xYzIJYcT.jpg"
95,1219596,"Whitney Dylan",1.758,"/9rRM99YiZ9v08HIh4qnufKhbSpq.jpg","Lysette",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/9rRM99YiZ9v08HIh4qnufKhbSpq.jpg"
95,1219652,"Mimi Paley",0.928,NA,"Little Buffy Summers",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1222962,"Camden Toy",1.094,"/vTcwztonSECUUs3efq4mDLHp5sw.jpg","Ubervamp,Gnarl,Gentleman",6,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/vTcwztonSECUUs3efq4mDLHp5sw.jpg"
95,1223891,"Julia Ling",2.014,"/aXBiJb2mQhjpxIF2zEFcsBttx43.jpg","Potential",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/aXBiJb2mQhjpxIF2zEFcsBttx43.jpg"
95,1223970,"Larry Clarke",0.6,"/kbp92RtguHWARGDW91S4rBVcv2H.jpg","Monk",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/kbp92RtguHWARGDW91S4rBVcv2H.jpg"
95,1224063,"Steven W. Bailey",1.4,NA,"Cave Demon",3,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1224149,"David Meunier",6.819,"/8gLRTQxeTUVtgGGb302f80peoMq.jpg","Rat-Faced Demon",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/8gLRTQxeTUVtgGGb302f80peoMq.jpg"
95,1225346,"Danielle Weeks",1.38,NA,"Debbie Foley",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1225399,"Andy Marshall",1.214,"/te57GVxkwdcvD3tRfpwyDdgg9lz.jpg","Scientist",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/te57GVxkwdcvD3tRfpwyDdgg9lz.jpg"
95,1226119,"Ryan Francis",2.832,"/4uqKjU32W2sLVdiWJTJzkZh5IJF.jpg","Soldier",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/4uqKjU32W2sLVdiWJTJzkZh5IJF.jpg"
95,1226344,"Steven M. Porter",1.96,"/eWDP6wIwmgXEFLbBBvUWnkqsgjI.jpg","Jack",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/eWDP6wIwmgXEFLbBBvUWnkqsgjI.jpg"
95,1226421,"Natasha Pearce",0.6,NA,"Lisa",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1226827,"Elizabeth Anne Allen",1.318,"/a3Tb9KIRHLkBxmwzHhIjbvPWkNn.jpg","Amy Madison",8,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/a3Tb9KIRHLkBxmwzHhIjbvPWkNn.jpg"
95,1227099,"Cameron Bender",0.98,"/7SkaSkVtNJCo3vJXpSdZSVjj110.jpg","Stoner",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/7SkaSkVtNJCo3vJXpSdZSVjj110.jpg"
95,1227222,"Brian Hawley",0.6,NA,"Orderly",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1228692,"Jenna Edwards",0.6,NA,"Trailer Girl",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2NA"
95,1228775,"Christopher Dahlberg",1.176,"/rmNGoJbkddHW1MXaHtcMEQRZCRY.jpg","Tackle",1,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/rmNGoJbkddHW1MXaHtcMEQRZCRY.jpg"
95,1228791,"Eric Saiet",1.96,"/zmTV5daifBB7Ka6oswhmU3bAwBx.jpg","Dalton",2,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/zmTV5daifBB7Ka6oswhmU3bAwBx.jpg"
95,1228811,"Andrew J. Ferchland",2.534,"/cNjTGvy4JpcNvZhJJLMXHuuStkd.jpg","Annointed One",6,"https://www.themoviedb.org/t/p/w600_and_h600_bestv2/cNjTGvy4JpcNvZhJJLMXHuuStkd.jpg"
