id,name,link_image,original_season
F0104C12,The Princess,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d9/ThePrincessS4CastMug.jpg,F0104
F0104C13,Willam,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7c/WillamS4CastMug.jpg,F0104
F0105C01,Alaska,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/8e/AlaskaS5CastMug.jpg,F0105
F0105C02,Alyssa Edwards,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/45/AlyssaEdwardsS5CastMug.jpg,F0105
F0105C03,Coco Montrese,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/00/CocoMontreseS5CastMug.jpg,F0105
F0105C04,Detox,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/96/DetoxS5CastMug.jpg,F0105
F0105C05,Honey Mahogany,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/90/HoneyMahoganyS5CastMug.jpg,F0105
F0105C06,Ivy Winters,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6c/IvyWintersS5CastMug.jpg,F0105
F0105C07,Jade Jolie,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f2/JadeJolieS5CastMug.jpg,F0105
F0105C08,Jinkx Monsoon,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/b4/JinkxMonsoonS5CastMug.jpg,F0105
F0105C09,Lineysha Sparx,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c9/LineyshaSparxS5CastMug.jpg,F0105
F0105C10,Monica Beverly Hillz,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2e/MonicaBeverlyHillzS5CastMug.jpg,F0105
F0105C11,Penny Tration,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f8/PennyTrationS5CastMug.jpg,F0105
F0105C12,Roxxxy Andrews,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7e/RoxxxyAndrewsS5CastMug.jpg,F0105
F0105C13,Serena ChaCha,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/da/SerenaChaChaS5CastMug.jpg,F0105
F0105C14,Vivienne Pinay,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/ea/ViviennePinayS5CastMug.jpg,F0105
F0106C01,Adore Delano,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d2/AdoreDelanoS6CastMug.png,F0106
F0106C02,April Carrión,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/cd/AprilCarri%C3%B3nS6CastMug.png,F0106
F0106C03,BenDeLaCreme,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/df/BenDeLaCremeS6CastMug.png,F0106
F0106C04,Bianca Del Rio,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e7/BiancaDelRioS6CastMug.png,F0106
F0106C05,Courtney Act,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f6/CourtneyActS6CastMug.png,F0106
F0106C06,Darienne Lake,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/61/DarienneLakeS6CastMug.png,F0106
F0106C07,Gia Gunn,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2a/GiaGunnS6CastMug.png,F0106
F0106C08,Joslyn Fox,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/dc/JoslynFoxS6CastMug.png,F0106
F0106C09,Kelly Mantle,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/ab/KellyMantleS6CastMug.png,F0106
F0106C10,Laganja Estranja,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/55/LaganjaEstranjaS6CastMug.png,F0106
F0106C11,Magnolia Crawford,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/43/MagnoliaCrawfordS6CastMug.png,F0106
F0106C12,Milk,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/72/MilkS6CastMug.png,F0106
F0106C13,Trinity K. Bonet,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/00/TrinityKBonetS6CastMug.png,F0106
F0106C14,Vivacious,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1f/VivaciousS6CastMug.png,F0106
F0107C01,Frisbee Jenkins,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/21/SashaBelleS7CastMug.png,F0107
F0107C02,Ginger Minj,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1d/GingerMinjS7CastMug.png,F0107
F0107C03,Jaidynn Diore Fierce,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/50/JaidynnDioreFierceS7CastMug.png,F0107
F0107C04,Jasmine Masters,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/19/JasmineMastersS7CastMug.png,F0107
F0107C05,Kandy Ho,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e1/KandyHoS7CastMug.png,F0107
F0107C06,Katya,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/23/KatyaS7CastMug.png,F0107
F0107C07,Kennedy Davenport,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/83/KennedyDavenportS7CastMug.png,F0107
F0107C08,Max,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/27/MaxS7CastMug.png,F0107
F0107C09,Miss Fame,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/95/MissFameS7CastMug.png,F0107
F0107C10,Mrs. Kasha Davis,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/91/MrsKashaDavisS7CastMug.png,F0107
F0107C11,Pearl,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c0/PearlS7CastMug.png,F0107
F0107C12,Tempest DuJour,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/9f/TempestDuJourS7CastMug.png,F0107
